Day of the week,Time of day,LONGITUDE,LATITUDE,Weather,CrashServerity,Lighting,RoadCondition
3,3,149.064689751039,-35.3484003440913,0,0,0,0
4,3,149.084809462677,-35.3488670724434,1,0,3,0
3,2,149.129886417342,-35.273422461411,0,0,0,0
3,1,149.155429926213,-35.2504211135675,0,0,0,0
2,1,149.1306253594,-35.2604074934189,0,0,0,0
2,1,149.147375342755,-35.2821550044868,0,0,0,0
3,3,149.071030193913,-35.2381733372496,1,0,0,3
5,2,149.10706487573,-35.3047979166119,0,0,0,0
2,1,149.088750899968,-35.2509429179634,6,0,3,3
1,2,149.136586544821,-35.3902899720509,0,0,0,0
6,2,149.144142821525,-35.3146309646533,0,0,0,0
2,2,149.155189202443,-35.281668158228,0,0,0,0
6,4,149.151631723778,-35.2303606340989,0,0,4,0
7,2,149.052299899739,-35.3414387284069,0,0,0,0
6,2,149.133591086244,-35.2765584977339,0,0,0,0
5,1,149.056890281045,-35.3477908215238,0,1,0,0
4,2,149.143342467477,-35.2760219545768,0,0,0,0
5,3,149.130604509228,-35.2759362622333,0,0,0,0
2,1,149.088143318744,-35.2589105004523,0,0,0,0
6,3,149.11706374387,-35.3832251766661,1,0,0,0
3,1,149.120864502364,-35.1856116617884,0,0,0,0
5,3,149.106753375839,-35.3109176949354,0,0,0,0
3,3,149.076511684641,-35.2912999045391,0,0,0,0
2,1,149.065971065628,-35.3401983768316,0,0,0,0
6,4,149.135128897131,-35.2522194179468,0,0,3,0
1,3,149.122361703764,-35.1886205325383,0,1,0,0
6,2,149.138727711492,-35.2074948146135,6,0,0,3
5,3,149.159846768072,-35.2445214348502,0,0,0,0
3,4,149.086162556459,-35.348938316932,0,0,1,0
3,3,149.177450471729,-35.2988726186754,0,0,0,0
5,1,149.07889283304,-35.4019449683925,0,0,0,0
2,1,149.112394981233,-35.2684186080716,0,1,0,0
4,3,149.136840165423,-35.1871370792337,0,0,0,0
3,3,149.134271387428,-35.1800737553902,0,0,0,0
7,4,149.063755872527,-35.3336563248151,0,0,3,0
5,3,149.068005248809,-35.2478904910035,1,0,0,3
1,4,149.121815805977,-35.3182678258813,0,0,4,0
1,4,149.161548513762,-35.2851121394767,0,2,4,0
2,2,149.13339288953,-35.4105442335946,0,0,0,0
5,4,149.089635655653,-35.2568366074444,0,0,3,0
1,4,149.134359165519,-35.1800466265376,6,0,3,3
3,3,149.163000844716,-35.343998236858,0,0,0,0
2,2,149.045184085922,-35.2432579132944,0,0,0,0
2,3,149.116638492429,-35.444320627001,0,0,0,0
6,2,149.07089350081,-35.3479557176954,0,0,0,0
5,4,149.122155117569,-35.2854437360846,0,0,3,0
2,1,149.087646633466,-35.3365361550374,0,0,0,0
6,1,149.149776741906,-35.323411743379,0,0,0,0
2,1,149.131100379021,-35.2179304167797,0,0,0,0
2,3,149.064263918516,-35.2391409663768,0,0,3,0
2,1,149.059796396523,-35.3689329054841,0,1,0,0
3,3,149.05366781192,-35.3286494971067,0,0,0,0
4,1,149.078060062491,-35.2894604594998,0,0,0,0
2,3,149.081301061847,-35.2875478943944,0,0,3,0
7,3,149.108153355275,-35.1960414149368,6,0,0,3
3,3,149.054699949769,-35.2666335339841,0,0,0,0
1,1,149.117498351959,-35.3130084647049,0,0,0,0
5,3,149.106269271472,-35.4027282094024,0,0,3,0
3,4,149.129461089093,-35.2756490000865,0,0,3,0
1,1,149.093922722318,-35.2480012809342,0,0,0,0
3,3,149.056564572871,-35.3741614396659,0,0,0,0
7,1,149.115094579777,-35.3188871123823,0,0,0,0
2,2,149.086834999981,-35.2529240281917,1,0,0,3
1,3,149.082711500335,-35.3400901908844,0,0,0,0
5,4,149.143724015727,-35.3007430910439,0,0,3,0
4,3,149.145848010997,-35.2955134109419,0,0,3,0
5,4,149.132287961267,-35.3208352008029,0,0,3,0
4,3,149.093345251793,-35.3378661627001,0,0,0,0
3,3,149.186301457093,-35.2142211159239,6,0,0,3
1,1,149.16366391784,-35.3406031522921,0,0,0,0
2,3,149.062879013467,-35.2380059944577,0,0,1,0
4,3,149.076130328162,-35.2283918709091,0,0,0,0
3,3,149.090912801713,-35.4564352074486,6,0,0,3
5,1,149.119239319367,-35.3076083891948,7,0,1,3
2,1,149.107007236709,-35.3117286169169,1,0,0,0
5,3,149.130290685485,-35.4120344274069,0,0,0,0
2,1,149.062260059864,-35.3673997314265,0,0,0,0
4,1,149.127838378457,-35.2783003086167,0,0,0,0
4,4,149.142220954491,-35.2487599932576,0,0,3,0
4,3,149.175820665823,-35.3305075669124,0,0,0,0
4,3,149.072586923304,-35.4250749287038,0,0,0,0
5,3,149.129235178031,-35.3065253406892,0,0,0,0
7,3,149.077654089918,-35.2510128020735,0,0,0,0
5,1,149.138901726867,-35.3445942499744,0,1,0,0
5,1,149.14941050593,-35.2000023796421,0,0,0,0
3,2,149.095074623484,-35.3272206172071,0,0,0,0
3,3,149.063907113301,-35.2476851255649,0,0,0,0
3,1,149.071832538567,-35.3960727394131,0,0,0,0
2,3,149.046522084944,-35.1900194564796,0,0,0,0
4,1,149.140177499073,-35.2693380619694,0,0,0,0
5,4,149.106062803759,-35.4325774388528,0,1,3,0
4,1,149.075554340443,-35.2765557949682,1,0,0,0
2,1,149.148632012809,-35.3227912055821,0,0,0,0
1,3,149.052288952707,-35.3415378698081,0,0,0,0
3,4,149.14341922185,-35.2759137182019,0,0,3,0
3,3,149.086164475985,-35.2811909989798,0,0,0,0
3,2,149.161598879538,-35.1943636917926,0,0,0,0
3,3,149.056576679336,-35.2435333857654,0,0,0,0
1,3,149.124333364718,-35.177641139271,7,0,4,3
4,1,149.078661203037,-35.2337619962676,0,0,0,0
2,2,149.1052473964,-35.1711325168153,0,0,0,0
5,1,149.132961731616,-35.2866498690341,0,0,0,0
1,1,149.067995278435,-35.1928520371306,0,0,0,0
2,1,149.087712668172,-35.3365811745264,0,0,0,0
4,3,149.057295847416,-35.3453482762008,1,0,0,3
